,output,equation_number,eqn,soln
0,HIT te0 w/ (lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)) ; log prior = -3.790670 ; log likelihood = 0.000000,0,(= (/ (1) (2)) (x)),(lambda (#(lambda (_swap $0 0)) $0))
66,HIT te163 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) $0)) ; log prior = -4.117512 ; log likelihood = 0.000000,163,(= (1) (+ (2) (/ (-3) (x)))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (_swap $0 2)) $0))) $0))
67,HIT te164 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0))) ; log prior = -6.952608 ; log likelihood = 0.000000,164,(= (+ (/ (1) (x)) (-2)) (3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0)))
68,HIT te167 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) $0)) ; log prior = -2.934811 ; log likelihood = 0.000000,167,(= (1) (+ (* (-2) (x)) (-3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) $0))
69,HIT te168 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) $0)) ; log prior = -2.628493 ; log likelihood = 0.000000,168,(= (- (1) (2)) (- (* (-3) (x)) (* (4) (x)))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) $0))
70,HIT te169 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) $0)) ; log prior = -3.255733 ; log likelihood = 0.000000,169,(= (- (-1) (2)) (* (-3) (x))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) $0))
71,HIT te170 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) $0)) ; log prior = -3.173712 ; log likelihood = 0.000000,170,(= (1) (+ (* (-2) (x)) (3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) $0))
72,HIT te171 w/ (lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) $0)) ; log prior = -5.618808 ; log likelihood = 0.000000,171,(= (1) (/ (-2) (x))),(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) $0))
73,HIT te172 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) $0)) ; log prior = -2.918013 ; log likelihood = 0.000000,172,(= (-1) (+ (* (2) (x)) (3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) $0))
74,HIT te173 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) $0)) ; log prior = -2.655131 ; log likelihood = 0.000000,173,(= (1) (* (2) (x))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) $0))
75,HIT te174 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) $0)) ; log prior = -2.750197 ; log likelihood = 0.000000,174,(= (- (1) (2)) (* (-3) (x))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) $0))
76,HIT te177 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) $0)) ; log prior = -3.473611 ; log likelihood = 0.000000,177,(= (/ (* (1) (x)) (x)) (* (2) (x))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) $0))
77,HIT te184 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) $0)) ; log prior = -3.510794 ; log likelihood = 0.000000,184,(= (/ (-1) (x)) (- (-2) (3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) $0))
78,HIT te185 w/ (lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0)) ; log prior = -3.172228 ; log likelihood = 0.000000,185,(= (* (1) (x)) (-2)),(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))
79,HIT te187 w/ (lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0)) ; log prior = -3.801811 ; log likelihood = 0.000000,187,(= (* (1) (x)) (- (2) (3))),(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))
80,HIT te189 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) $0)) ; log prior = -3.102942 ; log likelihood = 0.000000,189,(= (-1) (+ (* (-2) (x)) (-3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) $0))
81,HIT te190 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) $0)) ; log prior = -3.563339 ; log likelihood = 0.000000,190,(= (+ (* (-1) (x)) (-2)) (3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (_swap $0 0)) $0))) $0))
82,HIT te196 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) $0)) ; log prior = -4.316214 ; log likelihood = 0.000000,196,(= (* (-1) (x)) (- (2) (3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) $0))
83,HIT te197 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0))) ; log prior = -6.960160 ; log likelihood = 0.000000,197,(= (+ (/ (-1) (x)) (2)) (-3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0)))
84,HIT te198 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) $0)) ; log prior = -4.570681 ; log likelihood = 0.000000,198,(= (-1) (+ (/ (-2) (x)) (-3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) $0))
85,HIT te199 w/ (lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) $0))) ; log prior = -8.696855 ; log likelihood = 0.000000,199,(= (+ (-1) (2)) (/ (3) (x))),(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) $0)))
